,Year,Location,Number of Households,Tenure,Housing Characteristics
782,2022,"Medium population centres, Ontario",16100,Renter,Apartment or flat in a duplex
784,2021,"Medium population centres, Ontario",34300,Renter,Apartment in a building that has five or more storeys
785,2022,"Medium population centres, Ontario",26000,Renter,Apartment in a building that has five or more storeys
787,2021,"Medium population centres, Ontario",60800,Renter,Apartment in a building that has fewer than five storeys
788,2022,"Medium population centres, Ontario",78600,Renter,Apartment in a building that has fewer than five storeys
790,2021,"Medium population centres, Ontario",700,Renter,Other single-attached house
791,2022,"Medium population centres, Ontario",800,Renter,Other single-attached house
793,2021,"Medium population centres, Ontario",0,Renter,Movable dwelling
794,2022,"Medium population centres, Ontario",0,Renter,Movable dwelling
799,2021,"Medium population centres, Ontario",15700,Renter,Condominium
800,2022,"Medium population centres, Ontario",13100,Renter,Condominium
802,2021,"Medium population centres, Ontario",142700,Renter,Not condominium
803,2022,"Medium population centres, Ontario",144000,Renter,Not condominium
806,2021,"Medium population centres, Ontario",29000,Renter,Dwelling satisfaction rating between 0 and 5
807,2022,"Medium population centres, Ontario",40200,Renter,Dwelling satisfaction rating between 0 and 5
808,2021,"Medium population centres, Ontario",37300,Renter,Dwelling satisfaction rating of 6 or 7
809,2022,"Medium population centres, Ontario",30800,Renter,Dwelling satisfaction rating of 6 or 7
810,2021,"Medium population centres, Ontario",92100,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
811,2022,"Medium population centres, Ontario",86100,Renter,"Dwelling satisfaction rating of 8, 9 or 10"
814,2021,"Medium population centres, Ontario",28900,Renter,Neighbourhood satisfaction rating between 0 and 5
815,2022,"Medium population centres, Ontario",39700,Renter,Neighbourhood satisfaction rating between 0 and 5
816,2021,"Medium population centres, Ontario",26500,Renter,Neighbourhood satisfaction rating of 6 or 7
817,2022,"Medium population centres, Ontario",38200,Renter,Neighbourhood satisfaction rating of 6 or 7
818,2021,"Medium population centres, Ontario",103000,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
819,2022,"Medium population centres, Ontario",79200,Renter,"Neighbourhood satisfaction rating of 8, 9 or 10"
821,2021,"Medium population centres, Ontario",13500,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
822,2022,"Medium population centres, Ontario",14200,Renter,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
824,2021,"Medium population centres, Ontario",800,Renter,Moved due to a natural disaster or fire
825,2022,"Medium population centres, Ontario",200,Renter,Moved due to a natural disaster or fire
827,2021,"Medium population centres, Ontario",8700,Renter,Moved for a new job or job transfer
828,2022,"Medium population centres, Ontario",13200,Renter,Moved for a new job or job transfer
830,2021,"Medium population centres, Ontario",7800,Renter,Moved for a new school
831,2022,"Medium population centres, Ontario",5800,Renter,Moved for a new school
833,2021,"Medium population centres, Ontario",16400,Renter,Moved to form own household
834,2022,"Medium population centres, Ontario",14300,Renter,Moved to form own household
836,2021,"Medium population centres, Ontario",15000,Renter,Moved to be closer to family
837,2022,"Medium population centres, Ontario",10900,Renter,Moved to be closer to family
839,2021,"Medium population centres, Ontario",34400,Renter,Moved because of a change in household or family size
840,2022,"Medium population centres, Ontario",26100,Renter,Moved because of a change in household or family size
842,2021,"Medium population centres, Ontario",8300,Renter,Moved to reduce commuting time
843,2022,"Medium population centres, Ontario",6700,Renter,Moved to reduce commuting time
845,2021,"Medium population centres, Ontario",26300,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
846,2022,"Medium population centres, Ontario",22400,Renter,Moved to upgrade to a larger dwelling or better quality dwelling
848,2021,"Medium population centres, Ontario",23800,Renter,Moved to reduce housing costs
849,2022,"Medium population centres, Ontario",18500,Renter,Moved to reduce housing costs
851,2021,"Medium population centres, Ontario",16200,Renter,Moved to be in a more desirable neighbourhood
852,2022,"Medium population centres, Ontario",16300,Renter,Moved to be in a more desirable neighbourhood
854,2021,"Medium population centres, Ontario",18600,Renter,Moved for personal health reasons
855,2022,"Medium population centres, Ontario",13200,Renter,Moved for personal health reasons
857,2021,"Medium population centres, Ontario",800,Renter,Moved to become a homeowner
858,2022,"Medium population centres, Ontario",1300,Renter,Moved to become a homeowner
859,2021,"Medium population centres, Ontario",11300,Renter,Moved due to issues with previous landlord or other tenants
860,2022,"Medium population centres, Ontario",16000,Renter,Moved due to issues with previous landlord or other tenants
862,2021,"Medium population centres, Ontario",3000,Renter,Moved for another reason
863,2022,"Medium population centres, Ontario",31100,Renter,Moved for another reason
868,2021,"Small population centres, Ontario",52200,First-time homebuyer,Single-detached house
869,2022,"Small population centres, Ontario",33100,First-time homebuyer,Single-detached house
871,2021,"Small population centres, Ontario",7500,First-time homebuyer,Semi-detached house
872,2022,"Small population centres, Ontario",4800,First-time homebuyer,Semi-detached house
874,2021,"Small population centres, Ontario",0,First-time homebuyer,Row house
875,2022,"Small population centres, Ontario",4600,First-time homebuyer,Row house
877,2021,"Small population centres, Ontario",200,First-time homebuyer,Apartment or flat in a duplex
878,2022,"Small population centres, Ontario",3200,First-time homebuyer,Apartment or flat in a duplex
880,2021,"Small population centres, Ontario",200,First-time homebuyer,Apartment in a building that has five or more storeys
881,2022,"Small population centres, Ontario",1200,First-time homebuyer,Apartment in a building that has five or more storeys
883,2021,"Small population centres, Ontario",2100,First-time homebuyer,Apartment in a building that has fewer than five storeys
884,2022,"Small population centres, Ontario",1100,First-time homebuyer,Apartment in a building that has fewer than five storeys
886,2021,"Small population centres, Ontario",1700,First-time homebuyer,Other single-attached house
887,2022,"Small population centres, Ontario",0,First-time homebuyer,Other single-attached house
889,2021,"Small population centres, Ontario",0,First-time homebuyer,Movable dwelling
890,2022,"Small population centres, Ontario",0,First-time homebuyer,Movable dwelling
895,2021,"Small population centres, Ontario",500,First-time homebuyer,Condominium
896,2022,"Small population centres, Ontario",3400,First-time homebuyer,Condominium
898,2021,"Small population centres, Ontario",63500,First-time homebuyer,Not condominium
899,2022,"Small population centres, Ontario",44500,First-time homebuyer,Not condominium
902,2021,"Small population centres, Ontario",1800,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
903,2022,"Small population centres, Ontario",2900,First-time homebuyer,Dwelling satisfaction rating between 0 and 5
904,2021,"Small population centres, Ontario",16500,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
905,2022,"Small population centres, Ontario",15300,First-time homebuyer,Dwelling satisfaction rating of 6 or 7
906,2021,"Small population centres, Ontario",45700,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
907,2022,"Small population centres, Ontario",29800,First-time homebuyer,"Dwelling satisfaction rating of 8, 9 or 10"
910,2021,"Small population centres, Ontario",9000,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
911,2022,"Small population centres, Ontario",7800,First-time homebuyer,Neighbourhood satisfaction rating between 0 and 5
912,2021,"Small population centres, Ontario",4800,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
913,2022,"Small population centres, Ontario",4300,First-time homebuyer,Neighbourhood satisfaction rating of 6 or 7
914,2021,"Small population centres, Ontario",50200,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
915,2022,"Small population centres, Ontario",35900,First-time homebuyer,"Neighbourhood satisfaction rating of 8, 9 or 10"
917,2021,"Small population centres, Ontario",800,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
918,2022,"Small population centres, Ontario",3400,First-time homebuyer,"Moved because the household was forced to move by a landlord, a bank or other financial institution or the government"
920,2021,"Small population centres, Ontario",300,First-time homebuyer,Moved due to a natural disaster or fire
921,2022,"Small population centres, Ontario",0,First-time homebuyer,Moved due to a natural disaster or fire
923,2021,"Small population centres, Ontario",6800,First-time homebuyer,Moved for a new job or job transfer
924,2022,"Small population centres, Ontario",2400,First-time homebuyer,Moved for a new job or job transfer
926,2021,"Small population centres, Ontario",0,First-time homebuyer,Moved for a new school
927,2022,"Small population centres, Ontario",0,First-time homebuyer,Moved for a new school
929,2021,"Small population centres, Ontario",32000,First-time homebuyer,Moved to form own household
930,2022,"Small population centres, Ontario",3800,First-time homebuyer,Moved to form own household
932,2021,"Small population centres, Ontario",4200,First-time homebuyer,Moved to be closer to family
933,2022,"Small population centres, Ontario",2500,First-time homebuyer,Moved to be closer to family
935,2021,"Small population centres, Ontario",11100,First-time homebuyer,Moved because of a change in household or family size
936,2022,"Small population centres, Ontario",1500,First-time homebuyer,Moved because of a change in household or family size
